customer_id,months_active,logins_per_month,support_tickets,plan,ltv,is_churned,nps_score
F0001,11.0,60.0,3.0,Professional,6225.28,1,4
F0002,19.0,112.0,2.0,Enterprise,32928.4,0,9
F0003,27.0,64.0,2.0,Professional,5642.36,0,4
F0004,19.0,48.0,1.0,Professional,7686.95,1,7
F0005,20.0,35.0,6.0,Starter,275.5,0,6
F0006,4.0,17.0,6.0,Starter,215.43,0,6
F0007,1.0,10.0,5.0,Starter,1247.96,1,3
F0008,19.0,130.0,0.0,Enterprise,34085.14,0,6
F0009,3.0,44.0,3.0,Professional,4767.69,0,7
F0010,3.0,57.0,3.0,Professional,1834.85,0,5
F0011,2.0,2.0,2.0,Starter,520.32,1,2
F0012,28.0,119.0,0.0,Enterprise,14609.41,0,7
F0013,39.0,105.0,1.0,Enterprise,17122.14,0,9
F0014,1.0,3.0,8.0,Starter,182.85,1,1
F0015,2.0,34.0,5.0,Starter,1819.3,1,4
F0016,1.0,4.0,6.0,Starter,1079.57,0,4
F0017,2.0,15.0,8.0,Starter,1374.77,0,3
F0018,11.0,34.0,4.0,Professional,1936.62,0,7
F0019,1.0,62.0,0.0,Professional,1851.75,0,9
F0020,1.0,2.0,4.0,Starter,1214.29,0,3
F0021,4.0,76.0,2.0,Professional,7267.42,0,5
F0022,20.0,35.0,6.0,Starter,1104.12,1,5
F0023,7.0,6.0,11.0,Starter,1767.86,0,5
F0024,13.0,85.0,3.0,Professional,6771.44,1,5
F0025,1.0,45.0,4.0,Professional,1993.05,0,5
F0026,15.0,92.0,6.0,Professional,2812.72,0,1
F0027,7.0,,4.0,Starter,1349.65,0,2
F0028,9.0,49.0,0.0,Professional,4382.76,1,3
F0029,46.0,16.0,7.0,Professional,3389.55,0,7
F0030,1.0,24.0,7.0,Starter,895.4,1,3
F0031,28.0,60.0,1.0,Professional,4393.8,0,5
F0032,12.0,20.0,12.0,Starter,1830.05,1,3
F0033,1.0,11.0,7.0,Starter,296.57,1,2
F0034,40.0,93.0,2.0,Enterprise,15552.73,0,0
